iter	Passed	Remaining
0	5	3267
1	9	3196
2	15	3273
3	21	3451
4	27	3454
5	32	3461
6	37	3446
7	43	3435
8	48	3394
9	50	3193
10	56	3237
11	61	3218
12	66	3206
13	71	3187
14	75	3169
15	80	3167
16	85	3137
17	90	3131
18	94	3114
19	99	3082
20	103	3051
21	107	3028
22	111	2993
23	115	2977
24	120	2961
25	124	2941
26	126	2887
27	130	2861
28	134	2848
29	137	2807
30	141	2790
31	145	2777
32	149	2761
33	154	2753
34	157	2738
35	161	2721
36	163	2668
37	166	2653
38	171	2647
39	174	2624
40	178	2620
41	182	2612
42	187	2608
43	190	2593
44	194	2583
45	199	2579
46	203	2571
47	207	2563
48	211	2556
49	215	2552
50	219	2544
51	223	2533
52	227	2524
53	231	2520
54	234	2506
55	238	2497
56	242	2493
57	246	2486
58	250	2480
59	255	2475
60	259	2470
61	263	2461
62	267	2454
63	271	2448
64	274	2439
65	278	2432
66	282	2424
67	286	2422
68	291	2419
69	295	2415
70	299	2412
71	303	2405
72	308	2401
73	312	2395
74	315	2388
75	319	2382
76	323	2373
77	327	2368
78	331	2364
79	336	2360
80	339	2354
81	343	2346
82	348	2344
83	352	2341
84	356	2338
85	361	2339
86	366	2335
87	370	2331
88	374	2325
89	378	2322
90	382	2315
91	383	2294
92	386	2282
93	391	2280
94	395	2279
95	401	2281
96	405	2278
97	410	2276
98	414	2276
99	419	2272
100	424	2271
101	428	2266
102	432	2265
103	437	2261
104	441	2257
105	445	2251
106	449	2245
107	453	2240
108	456	2234
109	460	2228
110	465	2225
111	469	2223
112	474	2220
113	478	2218
114	483	2214
115	487	2209
116	491	2206
117	495	2202
118	500	2197
119	504	2194
120	508	2188
121	512	2183
122	516	2177
123	520	2173
124	524	2167
125	528	2163
126	532	2159
127	536	2155
128	540	2151
129	545	2147
130	549	2142
131	553	2137
132	557	2133
133	561	2128
134	565	2125
135	569	2119
136	573	2113
137	577	2108
138	581	2104
139	585	2099
140	590	2096
141	594	2093
142	598	2089
143	603	2086
144	607	2082
145	611	2078
146	615	2073
147	619	2068
148	623	2062
149	627	2059
150	632	2055
151	636	2051
152	640	2047
153	644	2043
154	649	2039
155	653	2036
156	658	2033
157	662	2029
158	666	2025
159	670	2020
160	675	2017
161	679	2013
162	684	2011
163	689	2008
164	693	2006
